,belly_bottom_x,belly_bottom_y,belly_middle_x,belly_middle_y,belly_top_x,belly_top_y,nose_x,nose_y,pawbackL_x,pawbackL_y,pawbackR_x,pawbackR_y,pawfrontL_x,pawfrontL_y,pawfrontR_x,pawfrontR_y,tailbase_x,tailbase_y,tailmiddle_1_x,tailmiddle_1_y,tailmiddle_2_x,tailmiddle_2_y,tailtip_x,tailtip_y
0,1361.4481309454845,667.1099697017646,1466.0330636178244,670.7884162267612,1528.8710525963186,677.8469349721775,1608.2056454284962,689.8052885198247,1354.9975731671066,733.9341753586443,1368.213543580354,607.697993784031,1504.3683296467239,710.4359937824431,1551.0246728484553,642.6318859026146,1285.5759126626112,626.17304716483,1273.4490969423657,532.0959006525111,1358.3206987851454,455.35278425227096,1436.2938935068742,416.9953252886122
1,1376.1343884979324,668.0253317239149,1468.1249275215991,672.1107337032869,1543.1750766071623,680.7948810645598,1626.5574237044277,694.5820779058915,1354.9975731671066,733.9341753586443,1372.0679177807438,609.8020608688204,1503.5824798936276,709.1716696037483,1568.9448304819807,643.5102368914474,1300.3590459201926,635.243142608293,1275.0211422214977,550.3721771365088,1347.988771796869,458.4702372753812,1434.1866795938604,410.86544974890774
2,1397.6572156100422,670.6017437076357,1475.1443175100542,672.3316387508543,1553.7617975683067,677.8350675675294,1639.676783592954,694.2609747262477,1390.126981982279,735.9534016824139,1373.8300188378037,608.6028277873446,1502.6818335245343,708.2419948911784,1585.6586316620135,643.0313609755751,1306.4674534704204,655.1685579432658,1276.1835440529862,553.0815164201404,1339.6628873572688,463.93595925075465,1421.173617839315,409.6890954136027
3,1399.584272677294,677.7897963426014,1477.9211697738467,674.46822693527,1564.535713195163,678.7894391626915,1643.5014774253232,693.5487202868551,1423.2095916777462,737.222828762965,1372.6688141928114,610.4963017159425,1501.5380534489266,708.3989380668245,1595.8164489563324,643.8423859744091,1309.2327794529358,658.231824735552,1277.9455362326414,562.7995768689461,1336.5173309449199,464.9259403441851,1402.52503100113,421.0549385116314
4,1411.1712846859245,680.1674762203681,1497.3906833327728,673.46210680076,1580.2514016507341,677.8326500241853,1661.2789699343343,692.1353785101508,1446.5709424859683,740.8470403141571,1373.266117418041,612.150718835014,1504.9243120757392,710.0421213625018,1595.3050919271259,640.6485094598254,1316.5686514145154,661.3707281572699,1281.0257465189177,565.7206396964589,1334.901192719109,466.4735034733149,1412.4812022271785,423.47704409022367
5,1419.4490066436754,681.4268768155803,1510.1994988251397,674.2768815219179,1581.1601063426554,677.4431648599555,1670.2500917801362,692.5411026036986,1456.7821157530932,742.5709388858716,1374.1084658650482,610.7187773103881,1518.5415732960914,709.6332765558082,1597.1085088208597,640.9944935674963,1330.5673108039277,669.0658823810086,1286.6527110487964,585.2497160151946,1333.7757247380944,476.7380437947184,1408.1280528084903,425.0552740709069
6,1431.5748193744187,676.4008575182422,1516.1023874486907,672.7972502216128,1579.4993255911236,674.6921401764162,1679.2212136259377,692.9468266972465,1458.6129255044466,741.2180900927256,1379.590739298262,619.2243871932501,1550.9241183269237,708.4475200172803,1599.6970451754028,638.8035702110662,1340.8744973586502,680.1886160277741,1292.7011085506876,589.0217983482296,1335.6685301361788,486.51200469290495,1402.1303857453463,441.37122783706167
7,1448.2058357553015,678.3820399844583,1532.4588133872442,674.7019569661982,1596.744580322002,679.6513853875824,1688.1923354717396,693.3525507907946,1452.9823592635205,741.1104817102316,1408.0668674266312,615.5874017264624,1607.0720431042018,708.6115193786729,1600.0988045040656,638.2219976397821,1349.242729219275,668.4652850137136,1301.0541273318772,590.7726831727646,1339.0155077326494,487.4533206085964,1412.9108616039343,447.16853459271925
8,1453.7796864774205,678.518167040186,1542.5084557491,682.531686684526,1611.6553551720879,676.2777697910014,1697.1634573175415,693.7582748843422,1453.3101132639965,742.7865953450907,1449.5263104526905,619.3782740522794,1635.8635606344994,701.6030713756709,1605.7948962669307,639.4388500300861,1359.6469095006878,679.5099024934511,1310.8910780321162,594.5564021368451,1349.3210669382604,481.08540039302,1418.6288389650554,432.69648360892523
9,1463.6494999431063,685.5336470511763,1545.4756366430215,681.4497271218877,1619.033307281974,678.5509103117124,1706.1345791633432,694.1639989778903,1455.187539670529,743.0562648386929,1469.0846902143956,634.5550699567523,1656.3858832839112,700.0339137887906,1607.9167952233395,640.024675872005,1366.9101589158681,681.1031993246281,1313.2753818407086,596.030565079179,1351.6897905064607,481.63046013229325,1424.7965875681493,433.4182177443552
10,1469.4750591841785,689.0963014099837,1565.1733911843232,684.917735708801,1628.2895566626455,672.800344432216,1715.1057010091452,694.5697230714381,1457.8183050370758,743.679731653021,1484.134895871383,633.0618818309435,1665.1202987617978,701.8333787039539,1605.7567143171814,642.1729174259142,1369.4745268113231,680.0162294640472,1316.5822793784234,595.1594872559745,1353.3028417285002,486.70838326458016,1426.2406646225627,440.6691483592414
11,1476.2708981329042,692.3537339666177,1565.132182985169,686.3846912769066,1632.1567490270284,675.8877537234969,1724.0768228549468,694.975447164986,1458.7837664739818,743.9297081300699,1502.0310212781892,643.5922420353872,1680.6702729399842,704.2979248499344,1603.5545441185645,642.5024779388893,1378.0646253278546,670.0908538051171,1332.6280005881833,596.870372614281,1352.1645182319555,486.93010485393734,1425.998922454524,441.47606701381784
